수질지표,여수값,대한해협평균,차이,차이율(%)
용존산소량표층,9.2,8.393076923076922,0.8069230769230771,9.614150856933373
화학적산소요구량표층,1.77,1.6884615384615387,0.08153846153846134,4.82915717539862
총질소표층,155.0,165.56153846153845,-10.561538461538447,-6.379222227384649
총인표층,21.89,22.87,-0.9800000000000004,-4.285089637079144
클로로필표층,1.11,1.6538461538461537,-0.5438461538461536,-32.88372093023255
투명도,4.34,5.643076923076923,-1.3030769230769232,-23.091603053435115
