,아황산가스,미세먼지,오존,이산화질소,일산화탄소,초미세먼지
아황산가스,1.0,0.20018526229124906,0.03824753397091774,0.4054671090515604,0.37137998780057085,0.24150237086661064
미세먼지,0.20018526229124906,1.0,0.24022034160458736,0.3173632705730882,0.2785600898399936,0.7243145335666341
오존,0.03824753397091774,0.24022034160458736,1.0,-0.20135046200387505,-0.008341536002516524,0.21044829745015975
이산화질소,0.4054671090515604,0.3173632705730882,-0.20135046200387505,1.0,0.5144862078573623,0.44977184697905404
일산화탄소,0.37137998780057085,0.2785600898399936,-0.008341536002516524,0.5144862078573623,1.0,0.40499625806879347
초미세먼지,0.24150237086661064,0.7243145335666341,0.21044829745015975,0.44977184697905404,0.40499625806879347,1.0
